monat,neukunden,kuendigungen,aktive_abos,mrr_eur,arr_eur,akquisekosten_eur,deckungsbeitrag_kumuliert_eur,marktdurchdringung
1,5,0,5,495,5940,1250,-755,0.00209
2,6,0,11,1089,13068,1500,-1166,0.00461
3,7,0,18,1782,21384,1750,-1134,0.00754
4,8,1,25,2475,29700,2000,-659,0.01047
5,9,1,33,3267,39204,2250,358,0.01382
6,10,1,42,4158,49896,2500,2016,0.0176
7,12,2,52,5148,61776,3000,4164,0.02178
8,13,2,63,6237,74844,3250,7151,0.02639
9,15,3,75,7425,89100,3750,10826,0.03142
10,18,3,90,8910,106920,4500,15236,0.0377
11,20,4,106,10494,125928,5000,20730,0.04441
12,23,4,125,12375,148500,5750,27355,0.05237
13,27,5,147,14553,174636,6750,35158,0.06158
14,31,6,172,17028,204336,7750,44436,0.07206
15,35,7,200,19800,237600,8750,55486,0.08379
16,41,8,233,23067,276804,10250,68303,0.09761
17,47,9,271,26829,321948,11750,83382,0.11353
18,54,11,314,31086,373032,13500,100968,0.13155
19,60,13,361,35739,428868,15000,121707,0.15124
20,60,14,407,40293,483516,15000,147000,0.17051
21,60,16,451,44649,535788,15000,176649,0.18894
22,60,18,493,48807,585684,15000,210456,0.20654
23,60,20,533,52767,633204,15000,248223,0.22329
24,60,21,572,56628,679536,15000,289851,0.23963
25,60,23,609,60291,723492,15000,335142,0.25513
26,60,24,645,63855,766260,15000,383997,0.27021
27,60,26,679,67221,806652,15000,436218,0.28446
28,60,27,712,70488,845856,15000,491706,0.29828
29,60,28,744,73656,883872,15000,550362,0.31169
30,60,30,774,76626,919512,15000,611988,0.32426
31,60,31,803,79497,953964,15000,676485,0.33641
32,60,32,831,82269,987228,15000,743754,0.34814
33,60,33,858,84942,1019304,15000,813696,0.35945
34,60,34,884,87516,1050192,15000,886212,0.37034
35,60,35,909,89991,1079892,15000,961203,0.38081
36,60,36,933,92367,1108404,15000,1038570,0.39087
